metric_id,entity_type,entity_id,metric_name,period,value,unit,source_evidence_id,calculation_method,is_estimate,confidence,created_at,notes
metric_company_cn_002837_invic_accounts_receivable_20251231_a1c324,company,cn_002837_invic,accounts_receivable,20251231,3053959547.65,CNY,market_data_tushare_balancesheet_selected_stocks_20260701_a8f0d7,Tushare snapshot value; no restatement adjustment in P1,false,medium,2026-07-01,公司整体财务指标；不能直接等同AI服务器液冷业务贡献。
metric_company_cn_002837_invic_total_revenue_20260331_a4342d,company,cn_002837_invic,total_revenue,20260331,1175329313.61,CNY,market_data_tushare_income_selected_stocks_20260701_f1c8b2,Tushare snapshot value; no restatement adjustment in P1,false,medium,2026-07-01,公司整体财务指标；不能直接等同AI服务器液冷业务贡献。
metric_company_cn_002837_invic_net_profit_attributable_20260331_dba127,company,cn_002837_invic,net_profit_attributable,20260331,8657602.27,CNY,market_data_tushare_income_selected_stocks_20260701_f1c8b2,Tushare snapshot value; no restatement adjustment in P1,false,medium,2026-07-01,公司整体财务指标；不能直接等同AI服务器液冷业务贡献。
metric_company_cn_002837_invic_basic_eps_20260331_58d830,company,cn_002837_invic,basic_eps,20260331,0.01,CNY/share,market_data_tushare_income_selected_stocks_20260701_f1c8b2,Tushare snapshot value; no restatement adjustment in P1,false,medium,2026-07-01,公司整体财务指标；不能直接等同AI服务器液冷业务贡献。
metric_company_cn_002837_invic_gross_margin_20260331_273f9a,company,cn_002837_invic,gross_margin,20260331,24.2935,%,market_data_tushare_fina_indicator_selected_stocks_20260701_c3e4a9,Tushare snapshot value; no restatement adjustment in P1,false,medium,2026-07-01,公司整体财务指标；不能直接等同AI服务器液冷业务贡献。
metric_company_cn_002837_invic_net_profit_margin_20260331_b5c7bd,company,cn_002837_invic,net_profit_margin,20260331,1.2049,%,market_data_tushare_fina_indicator_selected_stocks_20260701_c3e4a9,Tushare snapshot value; no restatement adjustment in P1,false,medium,2026-07-01,公司整体财务指标；不能直接等同AI服务器液冷业务贡献。
metric_company_cn_002837_invic_roe_dt_20260331_f47282,company,cn_002837_invic,roe_dt,20260331,0.1561,%,market_data_tushare_fina_indicator_selected_stocks_20260701_c3e4a9,Tushare snapshot value; no restatement adjustment in P1,false,medium,2026-07-01,公司整体财务指标；不能直接等同AI服务器液冷业务贡献。
metric_company_cn_002837_invic_operating_cash_flow_per_share_20260331_b46f68,company,cn_002837_invic,operating_cash_flow_per_share,20260331,-0.3953,CNY/share,market_data_tushare_fina_indicator_selected_stocks_20260701_c3e4a9,Tushare snapshot value; no restatement adjustment in P1,false,medium,2026-07-01,公司整体财务指标；不能直接等同AI服务器液冷业务贡献。
metric_company_cn_002837_invic_debt_to_assets_20260331_d5094b,company,cn_002837_invic,debt_to_assets,20260331,55.1085,%,market_data_tushare_fina_indicator_selected_stocks_20260701_c3e4a9,Tushare snapshot value; no restatement adjustment in P1,false,medium,2026-07-01,公司整体财务指标；不能直接等同AI服务器液冷业务贡献。
metric_company_cn_002837_invic_net_operating_cash_flow_20260331_2feaa9,company,cn_002837_invic,net_operating_cash_flow,20260331,-386363968.71,CNY,market_data_tushare_cashflow_selected_stocks_20260701_d5b6c1,Tushare snapshot value; no restatement adjustment in P1,false,medium,2026-07-01,公司整体财务指标；不能直接等同AI服务器液冷业务贡献。
metric_company_cn_002837_invic_inventories_20260331_b2311b,company,cn_002837_invic,inventories,20260331,1181981088.85,CNY,market_data_tushare_balancesheet_selected_stocks_20260701_a8f0d7,Tushare snapshot value; no restatement adjustment in P1,false,medium,2026-07-01,公司整体财务指标；不能直接等同AI服务器液冷业务贡献。
metric_company_cn_002837_invic_accounts_receivable_20260331_688db8,company,cn_002837_invic,accounts_receivable,20260331,3060887771.01,CNY,market_data_tushare_balancesheet_selected_stocks_20260701_a8f0d7,Tushare snapshot value; no restatement adjustment in P1,false,medium,2026-07-01,公司整体财务指标；不能直接等同AI服务器液冷业务贡献。
metric_company_cn_300731_cotran_total_revenue_20251231_d79602,company,cn_300731_cotran,total_revenue,20251231,1156901217.87,CNY,market_data_tushare_income_selected_stocks_20260701_f1c8b2,Tushare snapshot value; no restatement adjustment in P1,false,medium,2026-07-01,公司整体财务指标；不能直接等同AI服务器液冷业务贡献。
metric_company_cn_300731_cotran_net_profit_attributable_20251231_4e622c,company,cn_300731_cotran,net_profit_attributable,20251231,35609646.01,CNY,market_data_tushare_income_selected_stocks_20260701_f1c8b2,Tushare snapshot value; no restatement adjustment in P1,false,medium,2026-07-01,公司整体财务指标；不能直接等同AI服务器液冷业务贡献。
metric_company_cn_300731_cotran_basic_eps_20251231_31653f,company,cn_300731_cotran,basic_eps,20251231,0.28,CNY/share,market_data_tushare_income_selected_stocks_20260701_f1c8b2,Tushare snapshot value; no restatement adjustment in P1,false,medium,2026-07-01,公司整体财务指标；不能直接等同AI服务器液冷业务贡献。
metric_company_cn_300731_cotran_gross_margin_20251231_8793dd,company,cn_300731_cotran,gross_margin,20251231,19.2416,%,market_data_tushare_fina_indicator_selected_stocks_20260701_c3e4a9,Tushare snapshot value; no restatement adjustment in P1,false,medium,2026-07-01,公司整体财务指标；不能直接等同AI服务器液冷业务贡献。
metric_company_cn_300731_cotran_net_profit_margin_20251231_e13ae1,company,cn_300731_cotran,net_profit_margin,20251231,4.2821,%,market_data_tushare_fina_indicator_selected_stocks_20260701_c3e4a9,Tushare snapshot value; no restatement adjustment in P1,false,medium,2026-07-01,公司整体财务指标；不能直接等同AI服务器液冷业务贡献。
metric_company_cn_300731_cotran_roe_dt_20251231_273942,company,cn_300731_cotran,roe_dt,20251231,4.8039,%,market_data_tushare_fina_indicator_selected_stocks_20260701_c3e4a9,Tushare snapshot value; no restatement adjustment in P1,false,medium,2026-07-01,公司整体财务指标；不能直接等同AI服务器液冷业务贡献。
metric_company_cn_300731_cotran_operating_cash_flow_per_share_20251231_851118,company,cn_300731_cotran,operating_cash_flow_per_share,20251231,0.3382,CNY/share,market_data_tushare_fina_indicator_selected_stocks_20260701_c3e4a9,Tushare snapshot value; no restatement adjustment in P1,false,medium,2026-07-01,公司整体财务指标；不能直接等同AI服务器液冷业务贡献。
metric_company_cn_300731_cotran_debt_to_assets_20251231_d9d0da,company,cn_300731_cotran,debt_to_assets,20251231,48.7692,%,market_data_tushare_fina_indicator_selected_stocks_20260701_c3e4a9,Tushare snapshot value; no restatement adjustment in P1,false,medium,2026-07-01,公司整体财务指标；不能直接等同AI服务器液冷业务贡献。
metric_company_cn_300731_cotran_net_operating_cash_flow_20251231_4979ed,company,cn_300731_cotran,net_operating_cash_flow,20251231,42753313.69,CNY,market_data_tushare_cashflow_selected_stocks_20260701_d5b6c1,Tushare snapshot value; no restatement adjustment in P1,false,medium,2026-07-01,公司整体财务指标；不能直接等同AI服务器液冷业务贡献。
metric_company_cn_300731_cotran_inventories_20251231_1dfe67,company,cn_300731_cotran,inventories,20251231,135574593.21,CNY,market_data_tushare_balancesheet_selected_stocks_20260701_a8f0d7,Tushare snapshot value; no restatement adjustment in P1,false,medium,2026-07-01,公司整体财务指标；不能直接等同AI服务器液冷业务贡献。
metric_company_cn_300731_cotran_accounts_receivable_20251231_df73b6,company,cn_300731_cotran,accounts_receivable,20251231,427098519.57,CNY,market_data_tushare_balancesheet_selected_stocks_20260701_a8f0d7,Tushare snapshot value; no restatement adjustment in P1,false,medium,2026-07-01,公司整体财务指标；不能直接等同AI服务器液冷业务贡献。
metric_company_cn_300731_cotran_total_revenue_20260331_4b0d33,company,cn_300731_cotran,total_revenue,20260331,224326491.62,CNY,market_data_tushare_income_selected_stocks_20260701_f1c8b2,Tushare snapshot value; no restatement adjustment in P1,false,medium,2026-07-01,公司整体财务指标；不能直接等同AI服务器液冷业务贡献。
metric_company_cn_300731_cotran_net_profit_attributable_20260331_107cde,company,cn_300731_cotran,net_profit_attributable,20260331,-2998057.52,CNY,market_data_tushare_income_selected_stocks_20260701_f1c8b2,Tushare snapshot value; no restatement adjustment in P1,false,medium,2026-07-01,公司整体财务指标；不能直接等同AI服务器液冷业务贡献。
metric_company_cn_300731_cotran_basic_eps_20260331_a8162e,company,cn_300731_cotran,basic_eps,20260331,-0.02,CNY/share,market_data_tushare_income_selected_stocks_20260701_f1c8b2,Tushare snapshot value; no restatement adjustment in P1,false,medium,2026-07-01,公司整体财务指标；不能直接等同AI服务器液冷业务贡献。
metric_company_cn_300731_cotran_gross_margin_20260331_930b09,company,cn_300731_cotran,gross_margin,20260331,16.4562,%,market_data_tushare_fina_indicator_selected_stocks_20260701_c3e4a9,Tushare snapshot value; no restatement adjustment in P1,false,medium,2026-07-01,公司整体财务指标；不能直接等同AI服务器液冷业务贡献。
metric_company_cn_300731_cotran_net_profit_margin_20260331_66adcc,company,cn_300731_cotran,net_profit_margin,20260331,-0.7958,%,market_data_tushare_fina_indicator_selected_stocks_20260701_c3e4a9,Tushare snapshot value; no restatement adjustment in P1,false,medium,2026-07-01,公司整体财务指标；不能直接等同AI服务器液冷业务贡献。
metric_company_cn_300731_cotran_roe_dt_20260331_5c9b25,company,cn_300731_cotran,roe_dt,20260331,-0.5666,%,market_data_tushare_fina_indicator_selected_stocks_20260701_c3e4a9,Tushare snapshot value; no restatement adjustment in P1,false,medium,2026-07-01,公司整体财务指标；不能直接等同AI服务器液冷业务贡献。
metric_company_cn_300731_cotran_operating_cash_flow_per_share_20260331_de5fa9,company,cn_300731_cotran,operating_cash_flow_per_share,20260331,-0.2878,CNY/share,market_data_tushare_fina_indicator_selected_stocks_20260701_c3e4a9,Tushare snapshot value; no restatement adjustment in P1,false,medium,2026-07-01,公司整体财务指标；不能直接等同AI服务器液冷业务贡献。
metric_company_cn_300731_cotran_debt_to_assets_20260331_d4302c,company,cn_300731_cotran,debt_to_assets,20260331,49.2917,%,market_data_tushare_fina_indicator_selected_stocks_20260701_c3e4a9,Tushare snapshot value; no restatement adjustment in P1,false,medium,2026-07-01,公司整体财务指标；不能直接等同AI服务器液冷业务贡献。
metric_company_cn_300731_cotran_net_operating_cash_flow_20260331_512da8,company,cn_300731_cotran,net_operating_cash_flow,20260331,-36439170.04,CNY,market_data_tushare_cashflow_selected_stocks_20260701_d5b6c1,Tushare snapshot value; no restatement adjustment in P1,false,medium,2026-07-01,公司整体财务指标；不能直接等同AI服务器液冷业务贡献。
metric_company_cn_300731_cotran_inventories_20260331_fed997,company,cn_300731_cotran,inventories,20260331,150406837.99,CNY,market_data_tushare_balancesheet_selected_stocks_20260701_a8f0d7,Tushare snapshot value; no restatement adjustment in P1,false,medium,2026-07-01,公司整体财务指标；不能直接等同AI服务器液冷业务贡献。
metric_company_cn_300731_cotran_accounts_receivable_20260331_01be5f,company,cn_300731_cotran,accounts_receivable,20260331,331614907.2,CNY,market_data_tushare_balancesheet_selected_stocks_20260701_a8f0d7,Tushare snapshot value; no restatement adjustment in P1,false,medium,2026-07-01,公司整体财务指标；不能直接等同AI服务器液冷业务贡献。
